system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,site_no,snow_ice_qa_count,solar_az,solar_zen,.geo
1_1_1_LT05_052015_19860516_3,468.94999999999993,27,641.6499999999997,780.2500000000001,597.0999999999999,307.8,281.36624252,191.74999999999997,2.0,49,1986-05-16,9.0,63.931100205199236,-124.0858299870177,-0.3643175959587097,32.0,s009_ref,0,156.65423,43.34000415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19861007_3,985.7435270270271,89,998.8836654309546,799.6614188532556,1592.8750000000002,597.0999999999999,270.67809397999997,327.59999999999985,47.0,0,1986-10-07,9.0,63.931100205199236,-124.0858299870177,-0.25169899109825195,4.0,s009_ref,5,162.2577622,19.01199712,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950509_3,511.025,3,606.45,735.9749999999998,594.8999999999999,233.275,289.45327784,250.6,2.0,72,1995-05-09,9.0,63.931100205199236,-124.0858299870177,-0.3042047917842865,32.0,s009_ref,0,151.8529334,40.80720678,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950610_3,875.1249999999999,3,661.175,620.2000000000002,934.2499999999998,573.1750000000002,291.76044134,348.77500000000003,7.0,133,1995-06-10,9.0,63.931100205199236,-124.0858299870177,-0.07129258662462234,2.0,s009_ref,0,148.68176751,46.05355709,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950813_2,503.8749999999997,4,670.5250000000002,806.3749999999998,595.4500000000002,466.74999999999994,297.55056722,325.675,2.0,25,1995-08-13,9.0,63.949020205252346,-124.12481548692281,-0.21744853725516913,32.0,s009,0,148.73945597,37.4311291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950813_3,476.09999999999985,17,669.9749999999999,761.2750000000001,595.175,359.22499999999997,293.58908204,376.2750000000001,2.0,0,1995-08-13,9.0,63.931100205199236,-124.0858299870177,-0.31039453016723634,32.0,s009_ref,0,148.73945597,37.4311291,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950914_2,132.62499999999983,14,153.52499999999992,216.22499999999988,154.0749999999999,101.27499999999984,282.0464285,167.27500000000006,34.0,0,1995-09-14,9.0,63.949020205252346,-124.12481548692281,-0.2016160819865989,32.0,s009,0,153.74104956,26.81818329,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_19950914_3,2.0000000000000573,2,84.77499999999999,33.350000000000044,36.37499999999988,42.42499999999983,280.7304908,23.724999999999994,34.0,0,1995-09-14,9.0,63.931100205199236,-124.0858299870177,-0.3329402515723288,32.0,s009_ref,0,153.74104956,26.81818329,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_052015_20080512_3,314.94999999999993,25,457.1249999999999,541.275,375.17500000000007,158.20000000000002,285.42001424,106.22500000000007,1.0,17,2008-05-12,9.0,63.931100205199236,-124.0858299870177,-0.4412454068660736,32.0,s009_ref,0,164.6252402,43.44824235,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_053015_19841008_2,1141.875,16,1117.125,1057.1750000000002,1175.9750000000001,235.19999999999985,273.9969914,152.42499999999993,17.0,122,1984-10-08,9.0,63.949020205252346,-124.12481548692281,-0.6252539157867432,36.0,s009,59,165.27065305,18.81605058,"{""type"":""MultiPoint"",""coordinates"":[]}"
