site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-07,4,329,419,432,404,294,3,46.4963868701826,150,"Affected, Post-slump"
st_s002,st_s002,7,2006,2005,68.6937602052197,-131.64161998437,2006-07-09,1,158,203,262,352,291,3,253.480017276332,190,"Affected, Post-slump"
st_s002,st_s002,8,2008,2005,68.6937602052197,-131.64161998437,2008-08-15,1,326,526,434,1102,288,3,73.7168875532693,220,"Affected, Post-slump"
st_s002,st_s002,8,2009,2005,68.6937602052197,-131.64161998437,2009-08-18,32,246,253,215,510,290,3,22.6196899792746,230,"Affected, Post-slump"
st_s002,st_s002,9,2009,2005,68.6937602052197,-131.64161998437,2009-09-03,5,380,514,576,564,290,3,77.6209935435699,240,"Affected, Post-slump"
st_s002,st_s002,6,2011,2010,68.6937602052197,-131.64161998437,2011-06-05,6,253,348,415,353,295,3,79.4739710370081,150,"Affected, Post-slump"
st_s002,st_s002,6,1986,1990,68.6937602052197,-131.64161998437,1986-06-07,6,323,421,504,496,284,3,148.911598372432,150,"Affected, Pre-slump"
st_s002,st_s002,6,1988,1990,68.6937602052197,-131.64161998437,1988-06-28,16,210,257,174,350,295,3,5.06107086724235,180,"Affected, Pre-slump"
st_s002,st_s002,8,1992,1990,68.6937602052197,-131.64161998437,1992-08-26,14,573,651,627,1040,287,3,46.0199689996449,230,"Affected, Pre-slump"
st_s002,st_s002,6,1993,1990,68.6937602052197,-131.64161998437,1993-06-10,2,318,415,449,431,293,3,56.3974723730643,160,"Affected, Pre-slump"
st_s002,st_s002,7,1994,1990,68.6937602052197,-131.64161998437,1994-07-31,2,232,297,258,415,294,3,28.3049526015493,210,"Affected, Pre-slump"
st_s002,st_s002,6,1997,1995,68.6937602052197,-131.64161998437,1997-06-05,7,285,420,471,456,290,3,73.4917537134303,150,"Affected, Pre-slump"
st_s002,st_s002,6,2005,2005,68.6937602052197,-131.64161998437,2005-06-11,1,229,344,374,355,297,3,80.592883084536,160,"Affected, Post-slump"
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-14,1,225,275,243,368,295,3,34.9375751263808,160,"Affected, Post-slump"
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-30,8,441,573,679,930,293,3,209.834649865722,180,"Affected, Post-slump"
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-03,1,295,408,347,451,294,3,23.5493611270035,150,"Affected, Post-slump"
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-19,14,225,262,195,331,286,3,7.47761829638436,170,"Affected, Post-slump"
st_s002,st_s002,6,2009,2005,68.6937602052197,-131.64161998437,2009-06-06,7,325,462,540,492,293,3,112.120254494575,150,"Affected, Post-slump"
st_s002,st_s002,5,2010,2010,68.6937602052197,-131.64161998437,2010-05-24,4,276,326,393,345,290,3,112.366848139367,140,"Affected, Post-slump"
st_s002,st_s002,7,2010,2010,68.6937602052197,-131.64161998437,2010-07-27,1,240,220,237,435,297,3,157.087651876247,200,"Affected, Post-slump"
st_s002,st_s002,5,2011,2010,68.6937602052197,-131.64161998437,2011-05-27,3,407,583,605,797,292,3,70.5150605171746,140,"Affected, Post-slump"
st_s002,st_s002,8,2011,2010,68.6937602052197,-131.64161998437,2011-08-31,2,441,650,677,586,285,3,58.4678898526157,240,"Affected, Post-slump"
st_s002,st_s002,8,1988,1990,68.6937602052197,-131.64161998437,1988-08-06,5,512,676,563,1018,292,3,29.1468973754456,210,"Affected, Pre-slump"
st_s002,st_s002,8,1989,1990,68.6937602052197,-131.64161998437,1989-08-09,3,468,629,579,1094,301,3,59.2565027762433,220,"Affected, Pre-slump"
st_s002,st_s002,6,1996,1995,68.6937602052197,-131.64161998437,1996-06-09,7,323,408,463,453,293,3,75.2659704237419,160,"Affected, Pre-slump"
st_s002,st_s002,6,1998,1995,68.6937602052197,-131.64161998437,1998-06-15,12,312,360,310,505,292,3,19.657825241905,160,"Affected, Post-slump"
st_s002,st_s002,6,1999,1995,68.6937602052197,-131.64161998437,1999-06-02,5,329,419,431,363,291,3,39.082914610969,150,"Affected, Post-slump"
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-04,1,353,640,573,1110,293,3,105.764851710208,180,"Affected, Post-slump"
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-05,12,402,461,500,392,285,3,62.4597648784444,150,"Affected, Post-slump"
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-10,1,182,227,241,233,291,3,34.9544862254919,160,"Affected, Post-slump"
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-12,2,340,540,495,1040,295,3,77.6696439718916,190,"Affected, Post-slump"
st_s002,st_s002,7,2008,2005,68.6937602052197,-131.64161998437,2008-07-28,4,422,616,502,1069,299,3,34.9051439024847,210,"Affected, Post-slump"
st_s002,st_s002,5,2009,2005,68.6937602052197,-131.64161998437,2009-05-28,3,469,630,641,614,289,3,70.4932909995888,140,"Affected, Post-slump"
st_s002,st_s002,9,2010,2010,68.6937602052197,-131.64161998437,2010-09-04,1,221,369,462,423,283,3,110.286633397966,240,"Affected, Post-slump"
st_s002,st_s002,6,2011,2010,68.6937602052197,-131.64161998437,2011-06-03,9,253,411,428,406,286,3,66.1450022428901,150,"Affected, Post-slump"
st_s002,st_s002,8,1988,1990,68.6937602052197,-131.64161998437,1988-08-06,6,511,672,561,1016,292,3,29.0139685955411,210,"Affected, Pre-slump"
st_s002,st_s002,8,1989,1990,68.6937602052197,-131.64161998437,1989-08-09,3,440,605,557,1080,301,3,61.5800686830867,220,"Affected, Pre-slump"
st_s002,st_s002,6,1996,1995,68.6937602052197,-131.64161998437,1996-06-09,7,310,397,456,450,293,3,78.6193183062386,160,"Affected, Pre-slump"
st_s002,st_s002,7,1997,1995,68.6937602052197,-131.64161998437,1997-07-30,1,234,270,278,412,291,3,133.226562255669,210,"Affected, Pre-slump"
st_s002,st_s002,6,1998,1995,68.6937602052197,-131.64161998437,1998-06-15,11,308,356,306,506,292,3,17.0564414154567,160,"Affected, Post-slump"
st_s002,st_s002,6,1999,1995,68.6937602052197,-131.64161998437,1999-06-02,6,350,415,429,363,292,3,29.1430280327897,150,"Affected, Post-slump"
st_s002,st_s002,7,1999,1995,68.6937602052197,-131.64161998437,1999-07-04,1,372,648,580,1105,293,3,105.883197873479,180,"Affected, Post-slump"
st_s002,st_s002,8,1999,1995,68.6937602052197,-131.64161998437,1999-08-21,3,489,763,670,1222,290,3,43.7858840784351,230,"Affected, Post-slump"
st_s002,st_s002,6,2006,2005,68.6937602052197,-131.64161998437,2006-06-05,11,393,453,494,388,286,3,63.8523402068396,150,"Affected, Post-slump"
st_s002,st_s002,6,2008,2005,68.6937602052197,-131.64161998437,2008-06-10,1,180,223,238,232,291,3,35.2498431382049,160,"Affected, Post-slump"
