site_no,station_nm,month,year,decade,Latitude,Longitude,sample_dt,num_pix,B1,B2,B3,B4,B6,cluster,SSC_mgL,ten_day,reference,fractional_day,fractional_2month
st_s002,st_s002,8,1985,1990,68.6937602052197,-131.64161998437,1985-08-25,12,399,428,421,678,280,3,38.658993267617,230,"Affected, Pre-slump",1985.64931506849,1985.66666666667
st_s002,st_s002,6,1986,1990,68.6937602052197,-131.64161998437,1986-06-09,6,386,497,610,572,286,3,162.136320648274,160,"Affected, Pre-slump",1986.43835616438,1986.5
st_s002,st_s002,6,1987,1990,68.6937602052197,-131.64161998437,1987-06-28,2,727,746,678,1006,286,3,32.1239114011621,170,"Affected, Pre-slump",1987.4904109589,1987.5
st_s002,st_s002,5,1988,1990,68.6937602052197,-131.64161998437,1988-05-29,6,323,414,501,448,289,3,103.291249721452,150,"Affected, Pre-slump",1988.41095890411,1988.33333333333
st_s002,st_s002,7,1989,1990,68.6937602052197,-131.64161998437,1989-07-19,2,485,573,465,1144,297,3,27.8540700446634,200,"Affected, Pre-slump",1989.54794520548,1989.5
st_s002,st_s002,6,1990,1990,68.6937602052197,-131.64161998437,1990-06-20,2,388,455,448,380,300,3,23.9884612866671,170,"Affected, Pre-slump",1990.46849315069,1990.5
st_s002,st_s002,6,1993,1990,68.6937602052197,-131.64161998437,1993-06-12,1,313,371,398,385,291,3,78.4642771454891,160,"Affected, Pre-slump",1993.44657534247,1993.5
st_s002,st_s002,8,1994,1990,68.6937602052197,-131.64161998437,1994-08-02,4,492,586,490,1096,298,3,23.1065632001826,210,"Affected, Pre-slump",1994.58630136986,1994.66666666667
st_s002,st_s002,6,1997,1995,68.6937602052197,-131.64161998437,1997-06-07,7,376,430,521,478,291,3,115.362574457766,150,"Affected, Pre-slump",1997.43287671233,1997.5
st_s002,st_s002,5,1998,1995,68.6937602052197,-131.64161998437,1998-05-25,1,262,290,293,262,289,3,25.1274154545624,140,"Affected, Post-slump",1998.39726027397,1998.33333333333
st_s002,st_s002,6,1998,1995,68.6937602052197,-131.64161998437,1998-06-26,1,115,226,161,563,297,3,82.7783663908334,170,"Affected, Post-slump",1998.48493150685,1998.5
st_s002,st_s002,7,1998,1995,68.6937602052197,-131.64161998437,1998-07-28,3,299,384,411,714,297,3,93.5499852057439,200,"Affected, Post-slump",1998.57260273973,1998.5
st_s002,st_s002,5,1999,1995,68.6937602052197,-131.64161998437,1999-05-28,1,305,306,342,306,290,3,75.5955624167572,140,"Affected, Post-slump",1999.40547945205,1999.33333333333
st_s002,st_s002,6,2004,2000,68.6937602052197,-131.64161998437,2004-06-10,11,309,417,511,424,287,3,108.079432365964,160,"Affected, Post-slump",2004.44383561644,2004.5
st_s002,st_s002,7,2004,2000,68.6937602052197,-131.64161998437,2004-07-28,38,418,463,290,936,293,3,6.35439991493566,210,"Affected, Post-slump",2004.57534246575,2004.5
st_s002,st_s002,8,2004,2000,68.6937602052197,-131.64161998437,2004-08-29,1,363,446,573,569,290,3,256.952679573153,240,"Affected, Post-slump",2004.66301369863,2004.66666666667
