system:index,date,mean,site_no,.geo
19800305_0,1980-03-05,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800306_0,1980-03-06,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800307_0,1980-03-07,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800308_0,1980-03-08,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800309_0,1980-03-09,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800310_0,1980-03-10,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800311_0,1980-03-11,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800312_0,1980-03-12,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800313_0,1980-03-13,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800314_0,1980-03-14,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800315_0,1980-03-15,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800316_0,1980-03-16,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800317_0,1980-03-17,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800318_0,1980-03-18,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800319_0,1980-03-19,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800320_0,1980-03-20,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800321_0,1980-03-21,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800322_0,1980-03-22,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800323_0,1980-03-23,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800324_0,1980-03-24,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800325_0,1980-03-25,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800326_0,1980-03-26,2.7506130442899814,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800327_0,1980-03-27,2.343700025772281,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800328_0,1980-03-28,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800329_0,1980-03-29,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800330_0,1980-03-30,1.0997924794102878,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800331_0,1980-03-31,2.0954002611645053,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800401_0,1980-04-01,0.0,10LB005,"{""type"":""MultiPoint"",""coordinates"":[]}"
